2019-03-29T17:14:00.5763275Z	Logger	Started logging
2019-03-29T17:14:00.5913113Z	ExperimentController	Participant: VTest-workingscripts 1
2019-03-29T17:14:00.6042980Z	ExperimentController	Hand model is female
2019-03-29T17:14:00.6312710Z	ExperimentController	Protocol file Protocol/Visuomotor Information/Protocol01.txt
2019-03-29T17:14:00.6452563Z	ExperimentController	Loaded 5 trials
2019-03-29T17:14:00.6592423Z	ExperimentController	Event ProtocolLoaded
2019-03-29T17:14:00.6732277Z	ExperimentController	Entering state Trial
2019-03-29T17:14:00.6882123Z	ExperimentController	Starting trial
2019-03-29T17:14:00.7051949Z	ExperimentController	Gap: Inactive
2019-03-29T17:14:00.7201966Z	ExperimentController	HandOffset: 0
2019-03-29T17:14:00.7371713Z	ExperimentController	Noise type 0
2019-03-29T17:14:00.7531458Z	ExperimentController	NoiseLevel: 0
2019-03-29T17:14:00.7691294Z	ExperimentController	Lambda: 0
2019-03-29T17:14:00.7841260Z	ExperimentController	Collision probability: 1
2019-03-29T17:14:00.8010966Z	ExperimentController	Knife PresentFalse
2019-03-29T17:14:00.8170803Z	TrialController	Started
2019-03-29T17:14:02.5304973Z	TrialController	Entering state SpecificTrial
2019-03-29T17:14:02.5364914Z	VisuomotorAgency	Noise type: Control
2019-03-29T17:14:02.5414863Z	VisuomotorAgency	Delay collision active: 0
2019-03-29T17:14:02.5454825Z	VisuomotorAgency	Started
2019-03-29T17:14:02.5500826Z	TrialController	Visuomotor information State Machine started
2019-03-29T17:14:04.0308478Z	VisuomotorAgency	Entering state ExperimentWave
2019-03-29T17:14:04.5435981Z	WaveController	Started
2019-03-29T17:14:04.8086271Z	WaveController	Entering state Initial
2019-03-29T17:14:05.9058189Z	WaveController	Initial Target Waved
2019-03-29T17:14:05.9108135Z	WaveController	Entering state Delay
2019-03-29T17:14:06.3990019Z	WaveController	Entering state Target
2019-03-29T17:14:06.4029978Z	WaveController	Light: 0
2019-03-29T17:14:07.0991940Z	WaveController	Probability for Wave 1: 0.4994882
2019-03-29T17:14:07.1041487Z	WaveController	Time in wave: 1 was 0.679924
2019-03-29T17:14:07.1081458Z	WaveController	Entering state Feedback
2019-03-29T17:14:07.5932629Z	WaveController	Waved correctly
2019-03-29T17:14:08.5894056Z	WaveController	Entering state End
2019-03-29T17:14:08.5934080Z	TrialController	Event Waved
2019-03-29T17:14:08.5993954Z	VisuomotorAgency	Entering state Interval
2019-03-29T17:14:08.6043922Z	VisuomotorAgency	Entering state ExperimentWave
2019-03-29T17:14:09.1182972Z	WaveController	Started
2019-03-29T17:14:09.3837693Z	WaveController	Entering state Initial
2019-03-29T17:14:10.2972918Z	WaveController	Initial Target Waved
2019-03-29T17:14:10.3012957Z	WaveController	Entering state Delay
2019-03-29T17:14:10.7920836Z	WaveController	Entering state Target
2019-03-29T17:14:10.7950755Z	WaveController	Light: 1
2019-03-29T17:14:11.4238177Z	WaveController	Probability for Wave 2: 0.8041896
2019-03-29T17:14:11.4278136Z	WaveController	Time in wave: 2 was 0.6279621
2019-03-29T17:14:11.4317984Z	WaveController	Entering state Feedback
2019-03-29T17:14:11.9372235Z	WaveController	Waved correctly
2019-03-29T17:14:12.9313222Z	WaveController	Entering state End
2019-03-29T17:14:12.9353161Z	TrialController	Event Waved
